monthName,startingDate,EndingDate
"16, Falgun (Phalgun)",13/02/1994,14/03/1994
"14, Choitro (Chaitra)",15/03/1994,14/04/1994
"14, Boishakh (Baisakh)",15/04/1994,15/05/1994
"13, Joishtho (Jaishtho)",16/05/1994,15/06/1994
"12, Srabon (Shraban)",17/07/1994,17/08/1994
"11, Ashshin (Aashin)",18/09/1994,17/10/1994
"11, Kartik",18/10/1994,16/11/1994
"12, Ogrohaeon (Agrahan)",17/11/1994,16/12/1994
"14, Magh (Maagh)",15/01/1995,13/02/1995
"15, Falgun (Phalgun)",14/02/1995,15/03/1995
"13, Choitro (Chaitra)",16/03/1995,14/04/1995
"14, Boishakh (Baisakh)",15/04/1995,15/05/1995
"13, Joishtho (Jaishtho)",16/05/1995,15/06/1995
"13, Asharh (Aashar)",16/06/1995,17/07/1995
"11, Srabon (Shraban)",18/07/1995,17/08/1995
"11, Bhadro (Bhadra)",18/08/1995,17/09/1995
"11, Ashshin (Aashin)",18/09/1995,17/10/1995
"11, Kartik",18/10/1995,16/11/1995
"12, Poush",17/12/1995,14/01/1996
"14, Magh (Maagh)",15/01/1996,13/02/1996
"15, Falgun (Phalgun)",14/02/1996,14/03/1996
"15, Boishakh (Baisakh)",14/04/1996,14/05/1996
"14, Joishtho (Jaishtho)",15/05/1996,14/06/1996
"14, Asharh (Aashar)",15/06/1996,16/07/1996
"12, Srabon (Shraban)",17/07/1996,16/08/1996
"12, Bhadro (Bhadra)",17/08/1996,16/09/1996
"12, Ashshin (Aashin)",17/09/1996,17/10/1996
"12, Ogrohaeon (Agrahan)",17/11/1996,15/12/1996
"13, Poush",16/12/1996,14/01/1997
"14, Magh (Maagh)",15/01/1997,12/02/1997
"16, Falgun (Phalgun)",13/02/1997,14/03/1997
"14, Choitro (Chaitra)",15/03/1997,13/04/1997
"15, Boishakh (Baisakh)",14/04/1997,14/05/1997
"14, Joishtho (Jaishtho)",15/05/1997,15/06/1997
"13, Asharh (Aashar)",16/06/1997,16/07/1997
"12, Bhadro (Bhadra)",17/08/1997,16/09/1997
"12, Ashshin (Aashin)",17/09/1997,17/10/1997
"11, Kartik",18/10/1997,16/11/1997
"12, Ogrohaeon (Agrahan)",17/11/1997,15/12/1997
"13, Poush",16/12/1997,14/01/1998
"14, Magh (Maagh)",15/01/1998,12/02/1998
"14, Choitro (Chaitra)",15/03/1998,14/04/1998
"14, Boishakh (Baisakh)",15/04/1998,15/05/1998
"13, Joishtho (Jaishtho)",16/05/1998,15/06/1998
"13, Asharh (Aashar)",16/06/1998,16/07/1998
"12, Srabon (Shraban)",17/07/1998,17/08/1998
"11, Bhadro (Bhadra)",18/08/1998,17/09/1998
"11, Kartik",18/10/1998,16/11/1998
"12, Ogrohaeon (Agrahan)",17/11/1998,16/12/1998
"12, Poush",17/12/1998,14/01/1999
"15, Falgun (Phalgun)",14/02/1999,15/03/1999
"13, Choitro (Chaitra)",16/03/1999,14/04/1999
"13, Joishtho (Jaishtho)",16/05/1999,15/06/1999
"11, Srabon (Shraban)",18/07/1999,17/08/1999
"11, Bhadro (Bhadra)",18/08/1999,17/09/1999
"11, Ashshin (Aashin)",18/09/1999,17/10/1999
"11, Kartik",18/10/1999,16/11/1999
"12, Ogrohaeon (Agrahan)",17/11/1999,16/12/1999
"12, Poush",17/12/1999,14/01/2000
"14, Magh (Maagh)",15/01/2000,13/02/2000
"15, Falgun (Phalgun)",14/02/2000,14/03/2000
"14, Choitro (Chaitra)",15/03/2000,13/04/2000
"15, Boishakh (Baisakh)",14/04/2000,14/05/2000
"14, Joishtho (Jaishtho)",15/05/2000,14/06/2000
"14, Asharh (Aashar)",15/06/2000,16/07/2000
"12, Srabon (Shraban)",17/07/2000,16/08/2000
"12, Ashshin (Aashin)",17/09/2000,17/10/2000
"11, Kartik",18/10/2000,16/11/2000
"12, Ogrohaeon (Agrahan)",17/11/2000,15/12/2000
"13, Poush",16/12/2000,14/01/2001
"14, Magh (Maagh)",15/01/2001,12/02/2001
"16, Falgun (Phalgun)",13/02/2001,14/03/2001
"14, Choitro (Chaitra)",15/03/2001,13/04/2001
"15, Boishakh (Baisakh)",14/04/2001,14/05/2001
"14, Joishtho (Jaishtho)",15/05/2001,15/06/2001
"13, Asharh (Aashar)",16/06/2001,16/07/2001
"12, Srabon (Shraban)",17/07/2001,16/08/2001
"12, Bhadro (Bhadra)",17/08/2001,16/09/2001
"12, Ashshin (Aashin)",17/09/2001,17/10/2001
"11, Kartik",18/10/2001,16/11/2001
"12, Ogrohaeon (Agrahan)",17/11/2001,16/12/2001
"12, Poush",17/12/2001,14/01/2002
"14, Magh (Maagh)",15/01/2002,13/02/2002
"15, Falgun (Phalgun)",14/02/2002,14/03/2002
"14, Choitro (Chaitra)",15/03/2002,14/04/2002
"14, Boishakh (Baisakh)",15/04/2002,15/05/2002
"13, Asharh (Aashar)",16/06/2002,16/07/2002
"11, Bhadro (Bhadra)",18/08/2002,17/09/2002
