month_name,starting_date,ending_date
Maha,18-jan-1980,16-feb-1980
Phaguna,17-feb-1980,16-mar-1980
Chaitra,17-mar-1980,15-apr-1980
Vaishakha,16-apr-1980,14-may-1980
Jyeshta,15-may-1980,12-jun-1980
Jyeshta,13-jun-1980,12-jul-1980
Ashadha,13-jul-1980,10-aug-1980
Shravana,11-aug-1980,09-sep-1980
Bhadarvo,10-sep-1980,08-oct-1980
,09-oct-1980,07-nov-1980
Kartak,08-nov-1980,07-dec-1980
Magshar,08-dec-1980,06-jan-1981
Posh,07-jan-1981,04-feb-1981
Maha,05-feb-1981,06-mar-1981
Phaguna,07-mar-1981,04-apr-1981
Chaitra,05-apr-1981,04-may-1981
Vaishakha,05-may-1981,02-jun-1981
Jyeshta,03-jun-1981,01-jul-1981
Ashadha,02-jul-1981,31-jul-1981
,01-aug-1981,29-aug-1981
Bhadarvo,30-aug-1981,28-sep-1981
Aso,29-sep-1981,27-oct-1981
Kartak,28-oct-1981,26-nov-1981
Magshar,27-nov-1981,26-dec-1981
Posh,27-dec-1981,25-jan-1982
Maha,26-jan-1982,23-feb-1982
Phaguna,24-feb-1982,25-mar-1982
Chaitra,26-mar-1982,23-apr-1982
Vaishakha,24-apr-1982,23-may-1982
Jyeshta,24-may-1982,21-jun-1982
Ashadha,22-jun-1982,20-jul-1982
Shravana,21-jul-1982,19-aug-1982
Bhadarvo,20-aug-1982,17-sep-1982
Aso,18-sep-1982,16-oct-1982
Aso,17-oct-1982,15-nov-1982
Kartak,16-nov-1982,15-dec-1982
Magshar,16-dec-1982,14-jan-1983
Posh,15-jan-1983,12-feb-1983
Phaguna,13-feb-1983,14-mar-1983
Phaguna,15-mar-1983,13-apr-1983
Chaitra,14-apr-1983,12-may-1983
Vaishakha,13-may-1983,11-jun-1983
Jyeshta,12-jun-1983,10-jul-1983
Ashadha,11-jul-1983,08-aug-1983
Shravana,09-aug-1983,07-sep-1983
Bhadarvo,08-sep-1983,06-oct-1983
Aso,07-oct-1983,04-nov-1983
Kartak,05-nov-1983,04-dec-1983
Magshar,05-dec-1983,03-jan-1984
Posh,04-jan-1984,01-feb-1984
Maha,02-feb-1984,02-mar-1984
Phaguna,03-mar-1984,01-apr-1984
Chaitra,02-apr-1984,01-may-1984
Vaishakha,02-may-1984,30-may-1984
Jyeshta,31-may-1984,29-jun-1984
Ashadha,30-jun-1984,28-jul-1984
Shravana,29-jul-1984,26-aug-1984
Bhadarvo,27-aug-1984,25-sep-1984
Aso,26-sep-1984,24-oct-1984
Kartak,25-oct-1984,22-nov-1984
Magshar,23-nov-1984,22-dec-1984
Posh,23-dec-1984,21-jan-1985
Maha,22-jan-1985,19-feb-1985
Phaguna,20-feb-1985,21-mar-1985
Chaitra,22-mar-1985,20-apr-1985
Vaishakha,21-apr-1985,19-may-1985
Jyeshta,20-may-1985,18-jun-1985
Ashadha,19-jun-1985,17-jul-1985
Shravana,18-jul-1985,16-aug-1985
Shravana,17-aug-1985,14-sep-1985
Bhadarvo,15-sep-1985,14-oct-1985
Aso,15-oct-1985,12-nov-1985
Kartak,13-nov-1985,11-dec-1985
Magshar,12-dec-1985,10-jan-1986
Posh,11-jan-1986,08-feb-1986
Maha,09-feb-1986,10-mar-1986
Phaguna,11-mar-1986,09-apr-1986
Chaitra,10-apr-1986,08-may-1986
Vaishakha,09-may-1986,07-jun-1986
Jyeshta,08-jun-1986,07-jul-1986
Ashadha,08-jul-1986,05-aug-1986
Shravana,06-aug-1986,04-sep-1986
Bhadarvo,05-sep-1986,02-nov-1986
Kartak,03-nov-1986,01-dec-1986
Magshar,02-dec-1986,29-jan-1987
Maha,30-jan-1987,27-feb-1987
Phaguna,28-feb-1987,29-mar-1987
Chaitra,30-mar-1987,28-apr-1987
Vaishakha,29-apr-1987,27-may-1987
Jyeshta,28-may-1987,26-jun-1987
Ashadha,27-jun-1987,25-jul-1987
Shravana,26-jul-1987,24-aug-1987
Bhadarvo,25-aug-1987,23-sep-1987
Aso,24-sep-1987,22-oct-1987
Kartak,23-oct-1987,21-nov-1987
Magshar,22-nov-1987,20-dec-1987
Posh,21-dec-1987,19-jan-1988
Maha,20-jan-1988,17-feb-1988
Phaguna,18-feb-1988,18-mar-1988
Chaitra,19-mar-1988,16-apr-1988
Vaishakha,17-apr-1988,15-may-1988
Jyeshta,16-may-1988,14-jun-1988
Jyeshta,15-jun-1988,13-jul-1988
Ashadha,14-jul-1988,12-aug-1988
Shravana,13-aug-1988,11-sep-1988
Bhadarvo,12-sep-1988,10-oct-1988
Aso,11-oct-1988,09-nov-1988
Kartak,10-nov-1988,09-dec-1988
Magshar,10-dec-1988,07-jan-1989
Posh,08-jan-1989,06-feb-1989
Maha,07-feb-1989,07-mar-1989
Phaguna,08-mar-1989,06-apr-1989
Chaitra,07-apr-1989,05-may-1989
Vaishakha,06-may-1989,03-jun-1989
Jyeshta,04-jun-1989,03-jul-1989
Ashadha,04-jul-1989,01-aug-1989
Shravana,02-aug-1989,31-aug-1989
,01-sep-1989,29-sep-1989
Aso,30-sep-1989,29-oct-1989
Kartak,30-oct-1989,28-nov-1989
Magshar,29-nov-1989,28-dec-1989
Posh,29-dec-1989,26-jan-1990
Maha,27-jan-1990,25-feb-1990
Phaguna,26-feb-1990,26-mar-1990
Chaitra,27-mar-1990,25-apr-1990
Vaishakha,26-apr-1990,24-may-1990
Jyeshta,25-may-1990,22-jun-1990
Ashadha,23-jun-1990,22-jul-1990
Shravana,23-jul-1990,20-aug-1990
Bhadarvo,21-aug-1990,18-sep-1990
,19-sep-1990,18-oct-1990
Kartak,19-oct-1990,17-nov-1990
Magshar,18-nov-1990,16-dec-1990
,17-dec-1990,15-jan-1991
Maha,16-jan-1991,14-feb-1991
Phaguna,15-feb-1991,16-mar-1991
Chaitra,17-mar-1991,14-apr-1991
Vaishakha,15-apr-1991,14-may-1991
Vaishakha,15-may-1991,12-jun-1991
Jyeshta,13-jun-1991,11-jul-1991
Ashadha,12-jul-1991,10-aug-1991
Shravana,11-aug-1991,08-sep-1991
Bhadarvo,09-sep-1991,07-oct-1991
Aso,08-oct-1991,06-nov-1991
Kartak,07-nov-1991,06-dec-1991
Magshar,07-dec-1991,04-jan-1992
Posh,05-jan-1992,03-feb-1992
Maha,04-feb-1992,04-mar-1992
Phaguna,05-mar-1992,03-apr-1992
Chaitra,04-apr-1992,02-may-1992
Vaishakha,03-may-1992,01-jun-1992
Jyeshta,02-jun-1992,30-jun-1992
,01-jul-1992,29-jul-1992
Shravana,30-jul-1992,28-aug-1992
Bhadarvo,29-aug-1992,26-sep-1992
Aso,27-sep-1992,25-oct-1992
Kartak,26-oct-1992,24-nov-1992
Magshar,25-nov-1992,23-dec-1992
Posh,24-dec-1992,22-jan-1993
Maha,23-jan-1993,21-feb-1993
Phaguna,22-feb-1993,23-mar-1993
Chaitra,24-mar-1993,21-apr-1993
Vaishakha,22-apr-1993,21-may-1993
Jyeshta,22-may-1993,20-jun-1993
Ashadha,21-jun-1993,19-jul-1993
Shravana,20-jul-1993,17-aug-1993
Bhadarvo,18-aug-1993,16-sep-1993
Bhadarvo,17-sep-1993,15-oct-1993
Aso,16-oct-1993,13-nov-1993
Kartak,14-nov-1993,13-dec-1993
Magshar,14-dec-1993,11-jan-1994
Posh,12-jan-1994,10-feb-1994
Maha,11-feb-1994,12-mar-1994
Phaguna,13-mar-1994,10-apr-1994
Chaitra,11-apr-1994,10-may-1994
Vaishakha,11-may-1994,09-jun-1994
Jyeshta,10-jun-1994,08-jul-1994
Ashadha,09-jul-1994,07-aug-1994
